"";"     [ALL]      ";"       0        ";"       1        ";"p.overall"
"NFractura";"  0.34 (0.69)   ";"  0.25 (0.64)   ";"  0.51 (0.75)   ";"  0.001  "
"FX_familia: 0";"   408 (100%)   ";"   272 (100%)   ";"   136 (100%)   ";"    .    "
"Diabetis:";"                ";"                ";"                ";"  0.473  "
"    0";"  281 (68.9%)   ";"  191 (70.2%)   ";"   90 (66.2%)   ";"         "
"    1";"  127 (31.1%)   ";"   81 (29.8%)   ";"   46 (33.8%)   ";"         "
"tipus_diabetis:";"                ";"                ";"                ";"  0.433  "
"    0";"  281 (68.9%)   ";"  191 (70.2%)   ";"   90 (66.2%)   ";"         "
"    1";"   2 (0.49%)    ";"   2 (0.74%)    ";"   0 (0.00%)    ";"         "
"    2";"  125 (30.6%)   ";"   79 (29.0%)   ";"   46 (33.8%)   ";"         "
"Densitometries:";"                ";"                ";"                ";"  0.201  "
"    0";"  390 (95.6%)   ";"  263 (96.7%)   ";"  127 (93.4%)   ";"         "
"    1";"   18 (4.41%)   ";"   9 (3.31%)    ";"   9 (6.62%)    ";"         "
"Osteporosi:";"                ";"                ";"                ";"  0.006  "
"    0";"  374 (91.7%)   ";"  257 (94.5%)   ";"  117 (86.0%)   ";"         "
"    1";"   34 (8.33%)   ";"   15 (5.51%)   ";"   19 (14.0%)   ";"         "
"neoplasia:";"                ";"                ";"                ";"  0.311  "
"    0";"  358 (87.7%)   ";"  235 (86.4%)   ";"  123 (90.4%)   ";"         "
"    1";"   50 (12.3%)   ";"   37 (13.6%)   ";"   13 (9.56%)   ";"         "
"HiperTiroidisme:";"                ";"                ";"                ";"  0.449  "
"    0";"  400 (98.0%)   ";"  268 (98.5%)   ";"  132 (97.1%)   ";"         "
"    1";"   8 (1.96%)    ";"   4 (1.47%)    ";"   4 (2.94%)    ";"         "
"Malnutricio:";"                ";"                ";"                ";"  0.690  "
"    0";"  401 (98.3%)   ";"  268 (98.5%)   ";"  133 (97.8%)   ";"         "
"    1";"   7 (1.72%)    ";"   4 (1.47%)    ";"   3 (2.21%)    ";"         "
"Malabsorcio:";"                ";"                ";"                ";"  1.000  "
"    0";"  407 (99.8%)   ";"  271 (99.6%)   ";"   136 (100%)   ";"         "
"    1";"   1 (0.25%)    ";"   1 (0.37%)    ";"   0 (0.00%)    ";"         "
"Malaltia_Hep_Cro:";"                ";"                ";"                ";"  0.517  "
"    0";"  397 (97.3%)   ";"  266 (97.8%)   ";"  131 (96.3%)   ";"         "
"    1";"   11 (2.70%)   ";"   6 (2.21%)    ";"   5 (3.68%)    ";"         "
"OthRiskFract:";"                ";"                ";"                ";"  0.751  "
"    0";"  334 (81.9%)   ";"  221 (81.2%)   ";"  113 (83.1%)   ";"         "
"    1";"   74 (18.1%)   ";"   51 (18.8%)   ";"   23 (16.9%)   ";"         "
"CountActualGE4:";"                ";"                ";"                ";"  0.967  "
"    0";"   94 (23.0%)   ";"   62 (22.8%)   ";"   32 (23.5%)   ";"         "
"    1";"  314 (77.0%)   ";"  210 (77.2%)   ";"  104 (76.5%)   ";"         "
